Año,Country Name,Country Code,Indicator Name,Indicator Code,Valor,Categoría,Crecimiento_Anual,Promedio_Movil_3,Promedio_Movil_5,Cambio_Desde_2000_Abs,Cambio_Desde_2000_Pct,Descripcion_Indicador,Region,Grupo_Ingresos,Fecha_Procesamiento
2000,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,56.5439387111311,Otros,-0.35303668027351076,56.7442667868409,56.94459486255071,0.0,0.0,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2001,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,56.3701928796755,Otros,-0.3072757848426866,56.552799459215834,56.74958323569174,-0.17374583145559797,-0.3072757848426866,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2002,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,56.1964470482199,Otros,-0.30822287911355106,56.3701928796755,56.55988805768362,-0.34749166291119593,-0.6145515696853843,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2003,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,56.0227012167643,Otros,-0.30917582975756863,56.1964470482199,56.37550932852635,-0.521237494366801,-0.921827354528082,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2004,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,55.8489553853087,Otros,-0.31013469126263127,56.0227012167643,56.196447048219895,-0.694983325822399,-1.2291031393707796,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2005,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,55.6752095538531,Otros,-0.31109951879476627,55.8489553853087,56.022701216764304,-0.8687291572779969,-1.5363789242134662,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2006,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,55.5014637223975,Otros,-0.31207036820856127,55.6752095538531,55.848955385308706,-1.042474988733595,-1.8436547090561528,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2007,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,55.3277178909419,Otros,-0.3130472960580555,55.501463722397496,55.675209553853094,-1.2162208201892,-2.1509304938988616,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2008,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,55.1539720594863,Otros,-0.31403035960758663,55.3277178909419,55.5014637223975,-1.389966651644798,-2.458206278741548,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2009,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,54.9802262280306,Otros,-0.31501961684338164,55.15397205948627,55.327717890941884,-1.5637124831004954,-2.7654820635844124,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2010,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,54.806480396575,Otros,-0.31601512648382624,54.98022622803063,55.153972059486264,-1.7374583145561004,-3.072757848427121,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2011,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,54.6851410545291,Otros,-0.22139597574575287,54.82394922637823,54.99070752591258,-1.8587976566020004,-3.287350861952043,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2012,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,54.5638017124831,Otros,-0.22188722513306613,54.68514105452906,54.837924290220826,-1.9801369986479997,-3.5019438754771315,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2013,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,54.4424623704371,Otros,-0.22238065940746177,54.5638017124831,54.69562235241098,-2.101476340693999,-3.716536889002231,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2014,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,54.3211230283912,Otros,-0.22287629317770952,54.442462370437134,54.5638017124831,-2.222815682739899,-3.931129902527153,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2015,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,54.1997836863452,Otros,-0.22337414118368537,54.32112302839116,54.442462370437134,-2.3441550247858984,-4.145722916052241,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2016,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,54.0419017575485,Otros,-0.2912962341517167,54.18760282409497,54.313814511041016,-2.5020369535825964,-4.424942815471134,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2017,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,53.8438666065795,Otros,-0.3664474130785744,54.028517350157735,54.1698274898603,-2.7000721045515945,-4.775175140072207,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2018,Colombia,COL,Área selvática (% del área de tierra),AG.LND.FRST.ZS,53.6642451554754,Otros,-0.3335968652038779,53.85000450653447,54.01418404686795,-2.879693555655699,-5.092842170700795,"La superficie forestal se refiere a las tierras con agrupaciones de árboles naturales o plantados de por lo menos 5 metros in situ, sean estas para usos productivos o no, y excluye las poblaciones en los sistemas de producción agrícola (por ejemplo, en plantaciones frutales y sistemas agroforestales) y los árboles en los parques y jardines urbanos.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
