Año,Country Name,Country Code,Indicator Name,Indicator Code,Valor,Categoría,Crecimiento_Anual,Promedio_Movil_3,Promedio_Movil_5,Cambio_Desde_2000_Abs,Cambio_Desde_2000_Pct,Descripcion_Indicador,Region,Grupo_Ingresos,Fecha_Procesamiento
2000,Colombia,COL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,9.22534818585366,Otros,-15.158969417595557,12.925338399755988,15.608722484783414,0.0,0.0,"La inflación, medida por el índice de precios al consumidor, refleja el cambio porcentual anual en el costo para el consumidor promedio de adquirir una canasta de bienes y servicios que puede fijarse o cambiarse en intervalos específicos, como por ejemplo anualmente. Generalmente se utiliza la fórmula de Laspeyres.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2001,Colombia,COL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,7.96556090304834,Otros,-13.655715290368164,9.354865391549703,13.04231956284504,-1.2597872828053198,-13.655715290368164,"La inflación, medida por el índice de precios al consumidor, refleja el cambio porcentual anual en el costo para el consumidor promedio de adquirir una canasta de bienes y servicios que puede fijarse o cambiarse en intervalos específicos, como por ejemplo anualmente. Generalmente se utiliza la fórmula de Laspeyres.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2002,Colombia,COL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,6.35150728778872,Otros,-20.26289968659882,7.847472125563576,10.618616678021004,-2.87384089806494,-31.151571086192142,"La inflación, medida por el índice de precios al consumidor, refleja el cambio porcentual anual en el costo para el consumidor promedio de adquirir una canasta de bienes y servicios que puede fijarse o cambiarse en intervalos específicos, como por ejemplo anualmente. Generalmente se utiliza la fórmula de Laspeyres.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2003,Colombia,COL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,7.1297886294186,Otros,12.253490492346408,7.148952273418556,8.309178418371284,-2.0955595564350595,-22.715235395108813,"La inflación, medida por el índice de precios al consumidor, refleja el cambio porcentual anual en el costo para el consumidor promedio de adquirir una canasta de bienes y servicios que puede fijarse o cambiarse en intervalos específicos, como por ejemplo anualmente. Generalmente se utiliza la fórmula de Laspeyres.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2004,Colombia,COL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,5.90402005546502,Otros,-17.192214771920046,6.4617719908907825,7.315245012314868,-3.3213281303886397,-36.002198111954556,"La inflación, medida por el índice de precios al consumidor, refleja el cambio porcentual anual en el costo para el consumidor promedio de adquirir una canasta de bienes y servicios que puede fijarse o cambiarse en intervalos específicos, como por ejemplo anualmente. Generalmente se utiliza la fórmula de Laspeyres.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2005,Colombia,COL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,5.05101962689696,Otros,-14.447790159155794,6.028276103926863,6.480379300523528,-4.1743285589567,-45.2484662352116,"La inflación, medida por el índice de precios al consumidor, refleja el cambio porcentual anual en el costo para el consumidor promedio de adquirir una canasta de bienes y servicios que puede fijarse o cambiarse en intervalos específicos, como por ejemplo anualmente. Generalmente se utiliza la fórmula de Laspeyres.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2006,Colombia,COL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.29342363628927,Otros,-14.998872437031318,5.082821106217086,5.745951847171714,-4.93192454956439,-53.46057894191034,"La inflación, medida por el índice de precios al consumidor, refleja el cambio porcentual anual en el costo para el consumidor promedio de adquirir una canasta de bienes y servicios que puede fijarse o cambiarse en intervalos específicos, como por ejemplo anualmente. Generalmente se utiliza la fórmula de Laspeyres.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2007,Colombia,COL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,5.54438485815156,Otros,29.13668269976437,4.962942707112599,5.584527361244282,-3.6809633277021003,-39.900535497907455,"La inflación, medida por el índice de precios al consumidor, refleja el cambio porcentual anual en el costo para el consumidor promedio de adquirir una canasta de bienes y servicios que puede fijarse o cambiarse en intervalos específicos, como por ejemplo anualmente. Generalmente se utiliza la fórmula de Laspeyres.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2008,Colombia,COL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,6.99688495554511,Otros,26.197678093324118,5.6115644833286495,5.557946626469584,-2.2284632303085496,-24.155871251837645,"La inflación, medida por el índice de precios al consumidor, refleja el cambio porcentual anual en el costo para el consumidor promedio de adquirir una canasta de bienes y servicios que puede fijarse o cambiarse en intervalos específicos, como por ejemplo anualmente. Generalmente se utiliza la fórmula de Laspeyres.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2009,Colombia,COL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.20251661216482,Otros,-39.93732012366048,5.581262141953832,5.217645937809544,-5.02283157368884,-54.44598374499245,"La inflación, medida por el índice de precios al consumidor, refleja el cambio porcentual anual en el costo para el consumidor promedio de adquirir una canasta de bienes y servicios que puede fijarse o cambiarse en intervalos específicos, como por ejemplo anualmente. Generalmente se utiliza la fórmula de Laspeyres.",América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
