Año,Country Name,Country Code,Indicator Name,Indicator Code,Valor,Categoría,Crecimiento_Anual,Promedio_Movil_3,Promedio_Movil_5,Cambio_Desde_2000_Abs,Cambio_Desde_2000_Pct,Descripcion_Indicador,Region,Grupo_Ingresos,Fecha_Procesamiento
2004,Colombia,COL,"Tasa de alfabetización, total de adultos (% de personas de 15 años y más)",SE.ADT.LITR.ZS,93.0,Educación,2.19780219780219,91.66666666666667,91.66666666666667,,,La tasa de alfabetización de adultos es el porcentaje de personas de 15 años o más que pueden leer y escribir y comprender una declaración breve y sencilla sobre su vida cotidiana.,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2005,Colombia,COL,"Tasa de alfabetización, total de adultos (% de personas de 15 años y más)",SE.ADT.LITR.ZS,93.0,Educación,0.0,92.33333333333333,92.0,,,La tasa de alfabetización de adultos es el porcentaje de personas de 15 años o más que pueden leer y escribir y comprender una declaración breve y sencilla sobre su vida cotidiana.,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2006,Colombia,COL,"Tasa de alfabetización, total de adultos (% de personas de 15 años y más)",SE.ADT.LITR.ZS,92.0,Educación,-1.0752688172043001,92.66666666666667,92.0,,,La tasa de alfabetización de adultos es el porcentaje de personas de 15 años o más que pueden leer y escribir y comprender una declaración breve y sencilla sobre su vida cotidiana.,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2007,Colombia,COL,"Tasa de alfabetización, total de adultos (% de personas de 15 años y más)",SE.ADT.LITR.ZS,93.0,Educación,1.0869565217391353,92.66666666666667,92.4,,,La tasa de alfabetización de adultos es el porcentaje de personas de 15 años o más que pueden leer y escribir y comprender una declaración breve y sencilla sobre su vida cotidiana.,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2008,Colombia,COL,"Tasa de alfabetización, total de adultos (% de personas de 15 años y más)",SE.ADT.LITR.ZS,93.0,Educación,0.0,92.66666666666667,92.8,,,La tasa de alfabetización de adultos es el porcentaje de personas de 15 años o más que pueden leer y escribir y comprender una declaración breve y sencilla sobre su vida cotidiana.,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2009,Colombia,COL,"Tasa de alfabetización, total de adultos (% de personas de 15 años y más)",SE.ADT.LITR.ZS,93.0,Educación,0.0,93.0,92.8,,,La tasa de alfabetización de adultos es el porcentaje de personas de 15 años o más que pueden leer y escribir y comprender una declaración breve y sencilla sobre su vida cotidiana.,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2010,Colombia,COL,"Tasa de alfabetización, total de adultos (% de personas de 15 años y más)",SE.ADT.LITR.ZS,93.0,Educación,0.0,93.0,92.8,,,La tasa de alfabetización de adultos es el porcentaje de personas de 15 años o más que pueden leer y escribir y comprender una declaración breve y sencilla sobre su vida cotidiana.,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2011,Colombia,COL,"Tasa de alfabetización, total de adultos (% de personas de 15 años y más)",SE.ADT.LITR.ZS,94.0,Educación,1.0752688172043001,93.33333333333333,93.2,,,La tasa de alfabetización de adultos es el porcentaje de personas de 15 años o más que pueden leer y escribir y comprender una declaración breve y sencilla sobre su vida cotidiana.,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2014,Colombia,COL,"Tasa de alfabetización, total de adultos (% de personas de 15 años y más)",SE.ADT.LITR.ZS,94.0,Educación,0.0,93.66666666666667,93.4,,,La tasa de alfabetización de adultos es el porcentaje de personas de 15 años o más que pueden leer y escribir y comprender una declaración breve y sencilla sobre su vida cotidiana.,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2015,Colombia,COL,"Tasa de alfabetización, total de adultos (% de personas de 15 años y más)",SE.ADT.LITR.ZS,94.0,Educación,0.0,94.0,93.6,,,La tasa de alfabetización de adultos es el porcentaje de personas de 15 años o más que pueden leer y escribir y comprender una declaración breve y sencilla sobre su vida cotidiana.,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
