Año,Country Name,Country Code,Indicator Name,Indicator Code,Valor,Categoría,Crecimiento_Anual,Promedio_Movil_3,Promedio_Movil_5,Cambio_Desde_2000_Abs,Cambio_Desde_2000_Pct,Descripcion_Indicador,Region,Grupo_Ingresos,Fecha_Procesamiento
2000,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.406262516975403,Otros,,-0.48073949416478495,-0.48073949416478495,0.0,0.0,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2002,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.26433065533638,Otros,,-0.39809826016426103,-0.42663728445768373,0.141931861639023,-34.93599722063855,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2003,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.204286307096481,Otros,,-0.29162649313608796,-0.3821670889854432,0.201976209878922,-49.715689102362006,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2004,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.140631452202797,Otros,,-0.20308280487855268,-0.30784250795841217,0.265631064772606,-65.3840937013366,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2005,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.145389392971992,Otros,,-0.16343571742375665,-0.23218006491661064,0.260873124003411,-64.21294436552843,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2006,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.175137788057327,Otros,,-0.15371954441070532,-0.1859551191329954,0.231124728918076,-56.89048811068862,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2007,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.279160350561142,Otros,,-0.19989584386348702,-0.18892105817794777,0.12710216641426098,-31.285723172427527,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2008,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.261542618274689,Otros,,-0.23861358563105264,-0.20037232041358938,0.144719898700714,-35.62226212207415,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2009,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.337012529373169,Otros,,-0.2925718327363333,-0.2396485358476638,0.069249987602234,-17.045625601346504,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2010,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.42333310842514,Otros,,-0.34062941869099933,-0.2952372789382934,-0.017070591449736994,4.201862277826263,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2011,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.317527681589127,Otros,,-0.35929110646247864,-0.3237152576446534,0.08873483538627602,-21.841748051703334,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2012,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.422298341989517,Otros,,-0.387719710667928,-0.3523428559303284,-0.01603582501411399,3.947158387512495,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2013,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.441208124160767,Otros,,-0.3936780492464704,-0.388275957107544,-0.03494560718536399,8.601730586796851,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2014,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.397509813308716,Otros,,-0.4203387598196667,-0.4003754138946534,0.008752703666687012,-2.1544452911507306,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2015,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.352601826190948,Otros,,-0.3971065878868103,-0.38622915744781505,0.05366069078445501,-13.208378460300796,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2016,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.384617507457733,Otros,,-0.378243048985799,-0.39964712262153623,0.02164500951767001,-5.327838186701461,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2017,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.429829597473145,Otros,,-0.38901631037394196,-0.4011533737182618,-0.023567080497741977,5.800948774008807,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2018,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.340439766645432,Otros,,-0.3849622905254366,-0.3809997022151948,0.06582275032997098,-16.20202395732122,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2019,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.283615678548813,Otros,,-0.35129501422246334,-0.3582208752632142,0.12264683842659002,-30.189060841666482,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2020,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.252498596906662,Otros,,-0.29218468070030235,-0.33820022940635697,0.153763920068741,-37.84841417650415,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2021,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.365944802761078,Otros,,-0.30068635940551763,-0.33446568846702596,0.04031771421432501,-9.924054651777292,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2022,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.362088114023209,Otros,,-0.32684383789698296,-0.3209173917770388,0.04417440295219399,-10.87336416883089,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2023,Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.309191286563873,Otros,,-0.34574140111605334,-0.314667695760727,0.09707123041152999,-23.893720526869856,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2000,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.403075814247131,Otros,,-0.39583758513132733,-0.39583758513132733,0.0,0.0,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2002,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.487907588481903,Otros,,-0.405597150325775,-0.41885508596897125,-0.084831774234772,21.04610875579862,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2003,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.221860736608505,Otros,,-0.37094804644584634,-0.379456216096878,0.18121507763862602,-44.95806278456605,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2004,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.215896517038345,Otros,,-0.308554947376251,-0.33090974092483505,0.187179297208786,-46.437739649152945,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2005,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.197672158479691,Otros,,-0.21180980404218033,-0.305282562971115,0.20540365576744002,-50.95906241635832,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2006,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.191516101360321,Otros,,-0.201694925626119,-0.262970620393753,0.21155971288681003,-52.48633269697993,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2007,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.0502213798463345,Otros,,-0.14646987989544882,-0.1754333786666393,0.3528544344007965,-87.54046309125778,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2008,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.0256232153624296,Otros,,-0.08912023218969502,-0.13618587441742422,0.3774525988847014,-93.64307793800803,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2009,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.300557911396027,Otros,,-0.12546750220159703,-0.15311815328896064,0.10251790285110401,-25.43390082647057,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2010,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.123824141919613,Otros,,-0.1500017562260232,-0.138348549976945,0.279251672327518,-69.28018562689182,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2011,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.0504269637167454,Otros,,-0.15826967234412845,-0.1101307224482299,0.35264885053038564,-87.48945931897865,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2012,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.0011649925727397,Otros,,-0.05847203273636603,-0.10031944499351095,0.4019108216743913,-99.71097432999902,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2013,Colombia,COL,Government Effectiveness: Estimate,GE.EST,0.0531518310308456,Otros,,0.0005199582471201678,-0.0845644357148559,0.4562276452779766,-113.18655924075304,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2014,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.135854035615921,Otros,,-0.027955732385938365,-0.051623660558834696,0.26722177863121,-66.29566180504516,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2015,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.0937390848994255,Otros,,-0.0588137631615003,-0.045606649154797195,0.3093367293477055,-76.7440561834472,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2016,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.03696658462286,Otros,,-0.08885323504606885,-0.04291457333602012,0.366109229624271,-90.82887553253312,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
2017,Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.140821367502213,Otros,,-0.09050901234149951,-0.07084584832191479,0.26225444674491805,-65.06330508436966,,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,2025-04-03
